event_id,event_name,event_url,status_code,start_date,segment,genre,subgenre,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lon,venue_upcoming_events,venue_market_name,promoter_name,artist_name,artist_num_links,artist_num_images,price_min,price_max,offers_exist,seatmap_exists
1A9ZkGNGkd4DALJ,Eagles Live at Sphere,https://www.ticketmaster.com/eagles-live-at-sphere-las-vegas-nevada-03-27-2026/event/17006323D5EC57E6,onsale,2026-03-27,Music,Rock,Pop,Sphere,Las Vegas,NV,US,36.12072670,-115.16428960,844.0,Las Vegas,LIVE NATION MUSIC,Eagles,10,11,,,0,1
1A9ZkGNGkdMYkxj,Eagles Live at Sphere,https://www.ticketmaster.com/eagles-live-at-sphere-las-vegas-nevada-03-28-2026/event/17006323F7C0689C,onsale,2026-03-28,Music,Rock,Pop,Sphere,Las Vegas,NV,US,36.12072670,-115.16428960,844.0,Las Vegas,LIVE NATION MUSIC,Eagles,10,11,,,0,1
vvG10Zbl329onB,"The O'Jays, The Spinners, The Commodores,The Chi-Lites & Sister Sledge",https://www.ticketmaster.com/the-ojays-the-spinners-the-commodoresthe-ontario-california-12-05-2025/event/090062B48F5D1ABA,rescheduled,2025-12-05,Music,R&B,R&B,Toyota Arena,Ontario,CA,US,34.07532900,-117.56636400,40.0,Los Angeles,PROMOTED BY VENUE,The O'Jays,8,10,,,0,1
vvG1VZbYNASwCV,The Spinners,https://www.ticketmaster.com/the-spinners-immokalee-florida-01-09-2026/event/0D006308C5CF23B4,onsale,2026-01-09,Music,R&B,R&B,Seminole Center,Immokalee,FL,US,26.41064100,-81.41649800,15.0,Tampa,,The Spinners,8,11,,,0,1
vv17FZbgGkmz9tP3,The Spinners Ticket + Hotel Deals,https://travel.ticketmaster.com/event/10299247?_uid=01e06df2-8b31-4246-b25c-04d738f89509&utm_source=Caesars_TM&utm_medium=TM_ADP_TheSpinners,onsale,2026-04-23,Music,R&B,R&B,Tropicana Showroom at Tropicana Atlantic City,Atlantic City,NJ,US,39.35258500,-74.44489300,39.0,Philadelphia,PROMOTED BY VENUE,The Spinners,8,11,,,0,0
vv1AeZkG6GkdZg7PN,The Spinners,https://www.ticketmaster.com/the-spinners-atlantic-city-new-jersey-04-23-2026/event/02006307C0D44963,onsale,2026-04-23,Music,R&B,R&B,Tropicana Showroom at Tropicana Atlantic City,Atlantic City,NJ,US,39.35258500,-74.44489300,39.0,Philadelphia,PROMOTED BY VENUE,The Spinners,8,11,,,0,0
Z7r9jZ1A7pdPg,Coachella Music Festival,https://www.ticketmaster.com/event/Z7r9jZ1A7pdPg,onsale,2026-04-10,Miscellaneous,Fairs & Festivals,,Empire Polo Club,Indio,CA,US,33.726898000,-116.236099000,,,,Coachella Valley Music and Arts Festival,5,10,,,0,1
Z7r9jZ1A7jxZk,Coachella Music Festival,https://www.ticketmaster.com/event/Z7r9jZ1A7jxZk,onsale,2026-04-17,Miscellaneous,Fairs & Festivals,,Empire Polo Club,Indio,CA,US,33.726898000,-116.236099000,,,,Coachella Valley Music and Arts Festival,5,10,,,0,1
vvG1zZbmLu1w-g,Lady A: This Winter's Night Tour 2025,https://www.ticketmaster.com/lady-a-this-winters-night-tour-atlanta-georgia-12-05-2025/event/0E0062E7CD2B2875,onsale,2025-12-05,Music,Country,Country,Atlanta Symphony Hall,Atlanta,GA,US,33.79009800,-84.38549300,93.0,Atlanta,ATLANTA SYMPHONY,Lady A,9,11,,,0,1
Z7r9jZ1A7ra7K,Lady A,https://www.ticketmaster.com/event/Z7r9jZ1A7ra7K,onsale,2025-12-06,Music,Country,Country Folk,Ruth Eckerd Hall,Clearwater,FL,US,27.981199000,-82.715599000,2.0,,,Lady A,9,11,,,0,1
Z7r9jZ1A7_MvO,Lady A,https://www.ticketmaster.com/event/Z7r9jZ1A7_MvO,onsale,2025-12-10,Music,Country,Country Folk,Texas Trust CU Theatre,Grand Prairie,TX,US,32.773998000,-97.005203000,,,,Lady A,9,11,,,0,1
vvG18ZbcJ5WoQP,Lady A: This Winter's Night Tour 2025,https://www.ticketmaster.com/lady-a-this-winters-night-tour-rockford-illinois-12-12-2025/event/040062D98BF516A5,onsale,2025-12-12,Music,Country,Country,Coronado Theatre,Rockford,IL,US,42.27392600,-89.09300100,48.0,Chicagoland and Northern Il,LIVE NATION MUSIC,Lady A,9,11,,,0,1
vv1A6Zk1dGkdTBg4Y,Lady A,https://www.ticketmaster.com/lady-a-waukegan-illinois-12-13-2025/event/07006283FFEB5570,onsale,2025-12-13,Music,Country,Country,Genesee Theatre,Waukegan,IL,US,42.36276392,-87.83083839,33.0,Chicagoland and Northern Il,PROMOTED BY VENUE,Lady A,9,11,,,0,1
vvG1bZbmlcD0Vx,Lady A: This Winter's Night Tour 2025,https://www.ticketmaster.com/lady-a-this-winters-night-tour-welch-minnesota-12-14-2025/event/060062EAEDEE4D22,onsale,2025-12-14,Music,Country,Country,Treasure Island Resort & Casino,Welch,MN,US,44.57440840,-92.71827280,10.0,Minneapolis/St. Paul and More,PROMOTED BY VENUE,Lady A,9,11,,,0,1
